Mapping parameters for Diodon holocanthus (Longspined porcupinefish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  31 |  34 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,45,-39,-26,-31

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,2,35,200
Temperature (°C),1,14.4,21.36,28.51,32.71
Salinity (psu),1,30.7,33.47,36.18,39.04
Primary Production,1,69,265,1360,2854
Sea Ice Concentration,1,-0.99999638927451,0,0,0.00167564
Distance to Land (km),0,0,12,273,1070
 

Map data (HSPEC) for predicted occurrences (n = 8881): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Diodon,holocanthus,14.75,93.25,1109:143:3,0.14,0.83636363636364,0.9952380952381,0.16967509025271,1,1,1
Diodon,holocanthus,14.75,93.75,1109:143:4,0.17,1,0.9952380952381,0.16967509025271,1,1,1
Diodon,holocanthus,10.25,96.75,1109:206:2,0.10,0.18787878787879,0.93095238095238,0.56317689530686,1,1,1
Diodon,holocanthus,11.25,96.75,1109:216:2,0.07,0.16363636363636,0.93095238095238,0.47292418772563,1,1,1
Diodon,holocanthus,12.25,96.75,1109:226:2,0.10,0.36363636363636,0.92380952380952,0.29602888086643,1,1,1
Diodon,holocanthus,13.25,96.75,1109:236:2,0.03,1,0.93095238095238,0.028880866425993,1,1,1
Diodon,holocanthus,13.75,96.25,1109:236:3,0.03,1,0.93095238095238,0.028880866425993,1,1,1
Diodon,holocanthus,13.75,96.75,1109:236:4,0.03,1,0.93095238095238,0.028880866425993,1,1,1
Diodon,holocanthus,13.25,97.25,1109:237:1,0.05,1,0.92380952380952,0.050541516245488,1,1,1
Diodon,holocanthus,13.25,97.75,1109:237:2,0.05,0.96969696969697,0.92380952380952,0.050541516245488,1,1,1
Diodon,holocanthus,13.75,97.25,1109:237:3,0.05,1,0.92380952380952,0.050541516245488,1,1,1
Diodon,holocanthus,13.75,97.75,1109:237:4,0.05,1,0.92380952380952,0.050541516245488,1,1,1
Diodon,holocanthus,13.25,98.25,1109:238:1,0.04,1,0.91904761904762,0.050541516245488,0.96787148594378,1,1
