Mapping parameters for Decapterus tabl (Roughear scad)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  81,
Bounding Box (NSWE): ,37,-16,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,7,150,220,400
Temperature (°C),1,14.98,23.1,28.82,33.02
Salinity (psu),1,31.6,33.75,36.11,38
Primary Production,1,172,237,1367,1862
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,5,18,303,883
 

Map data (HSPEC) for predicted occurrences (n = 6396): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Decapterus,tabl,6.25,48.75,1004:468:2,0.12,,,,,,
Decapterus,tabl,0.25,56.25,1005:206:1,0.09,,,,,,
Decapterus,tabl,8.25,76.75,1007:486:2,0.08,,,,,,
Decapterus,tabl,0.75,99.25,1009:209:3,0.07,,,,,,
Decapterus,tabl,1.75,96.75,1009:216:4,0.08,,,,,,
Decapterus,tabl,2.25,95.75,1009:225:2,0.18,,,,,,
Decapterus,tabl,4.75,97.75,1009:247:4,0.10,,,,,,
Decapterus,tabl,4.25,98.25,1009:248:1,0.14,,,,,,
Decapterus,tabl,4.75,98.25,1009:248:3,0.07,,,,,,
Decapterus,tabl,4.75,98.75,1009:248:4,0.08,,,,,,
Decapterus,tabl,5.25,95.75,1009:455:2,0.15,,,,,,
Decapterus,tabl,5.25,97.75,1009:457:2,0.10,,,,,,
Decapterus,tabl,5.25,98.25,1009:458:1,0.09,,,,,,
Decapterus,tabl,5.25,98.75,1009:458:2,0.09,,,,,,
Decapterus,tabl,5.75,98.25,1009:458:3,0.12,,,,,,
Decapterus,tabl,5.75,98.75,1009:458:4,0.11,,,,,,
Decapterus,tabl,5.25,99.25,1009:459:1,0.04,,,,,,
Decapterus,tabl,5.25,99.75,1009:459:2,0.04,,,,,,
Decapterus,tabl,5.75,99.25,1009:459:3,0.06,,,,,,
Decapterus,tabl,5.75,99.75,1009:459:4,0.03,,,,,,
Decapterus,tabl,6.25,95.25,1009:465:1,0.02,,,,,,
Decapterus,tabl,6.75,95.75,1009:465:4,0.08,,,,,,
Decapterus,tabl,6.75,97.75,1009:467:4,0.12,,,,,,
Decapterus,tabl,6.25,98.25,1009:468:1,0.17,,,,,,
Decapterus,tabl,6.25,98.75,1009:468:2,0.13,,,,,,
Decapterus,tabl,6.75,98.25,1009:468:3,0.17,,,,,,
Decapterus,tabl,6.75,98.75,1009:468:4,0.12,,,,,,
Decapterus,tabl,6.25,99.25,1009:469:1,0.11,,,,,,
Decapterus,tabl,6.25,99.75,1009:469:2,0.03,,,,,,
Decapterus,tabl,6.75,99.25,1009:469:3,0.08,,,,,,
Decapterus,tabl,6.75,99.75,1009:469:4,0.11,,,,,,
Decapterus,tabl,7.25,98.75,1009:478:2,0.18,,,,,,
Decapterus,tabl,7.75,98.75,1009:478:4,0.11,,,,,,
Decapterus,tabl,7.25,99.25,1009:479:1,0.15,,,,,,
Decapterus,tabl,8.75,96.25,1009:486:3,0.05,,,,,,
